Object Name,Attributes,Library Name,Category,Feature Option
viva.obj,(+RO),system.lib,Boot-up used,
alice.obj,(+RO),sys_sec.lib,Boot-up used,
init.obj,(+RO),system.lib,Boot-up used,
init_comm.obj,(+RO),system.lib,Boot-up used,
cache.obj,(+RO),system.lib,Boot-up used,
custom_scatstruct.obj,(+RO),custom.lib,Boot-up used,
regioninit_ads.obj,(+RO),system.lib,Boot-up used,
arm_unaligned.obj,(+RO),system.lib,Boot-up used,
custom_flash.obj,(+RO),custom.lib,Boot-up used,
uart.obj,(+RO),peripheral.lib,Boot-up used,
dcl_gpio.obj,(+RO),peripheral.lib,Boot-up used,
gpio.obj,(+RO),peripheral.lib,Boot-up used,
DclH_kbd.obj,(+RO),peripheral.lib,Boot-up used,
dcl_pw.obj,(+RO),peripheral.lib,Boot-up used,
keypad_def.obj,(+RO),custom.lib,Boot-up used,
uart_def.obj,(+RO),custom.lib,Boot-up used,
SSS_secure_shared_common.obj,(+RO),sss_rvct_sv5.lib,Boot-up used,
excep_hdlr.obj,(+RO),system.lib,Boot-up used,
tst_assert.obj,(+RO),tst.lib,Boot-up used,
Dcl_SeriPortDrv.obj,(+RO),peripheral.lib,Boot-up used,
uart_handler.obj,(+RO),peripheral.lib,Boot-up used,
uart_vfifo.obj,(+RO),peripheral.lib,Boot-up used,
dma.obj,(+RO),system.lib,Boot-up used,
dcm.obj,(+RO),system.lib,Boot-up used,
tst_reader_trace_utility.obj,(+RO),tst.lib,Boot-up used,
init_trc.obj,(+RO),system.lib,Boot-up used,
custom_util.obj,(+RO),custom.lib,Boot-up used,
*l1audio32.lib,(+RO),l1audio32.lib,ARM libraries,
*fota.lib,(+RO),fota.lib,ARM libraries,
*dp_engine.lib,(+RO),dp_engine.lib,ARM libraries,
*opengl.lib,(+RO),opengl.lib,ARM libraries,
*rompatch.lib,(+RO),rompatch.lib,ARM libraries,
*postproc_sec.lib,(+RO),postproc_sec.lib,ARM libraries,
*media_sec32.lib,(+RO),media_sec32.lib,ARM libraries,
*gfx_core32.lib,(+RO),gfx_core32.lib,ARM libraries,
*vrt.lib,(+RO),vrt.lib,ARM libraries,!((finger_touch_support = FTE) && (PLATFORM = MT6252 || PLATFORM = MT6250))
*gdi_arm.lib,(+RO),gdi_arm.lib,ARM libraries,!((PLATFORM = MT6250) && (mmi_version = COSMOS_MMI))
*l1_classb_g2.lib,(+RO),l1_classb_g2.lib,L1 libraries,
*l1_ext.lib,(+RO),l1_ext.lib,L1 libraries,
