Object Name,Attributes,Library Name,Category,Feature Option
viva.obj,(+RO),system.lib,Boot-up used,
alice.obj,(+RO),sys_sec.lib,Boot-up used,
init.obj,(+RO),system.lib,Boot-up used,
init_comm.obj,(+RO),system.lib,Boot-up used,
cache.obj,(+RO),system.lib,Boot-up used,
custom_scatstruct.obj,(+RO),custom.lib,Boot-up used,
regioninit_ads.obj,(+RO),system.lib,Boot-up used,
arm_unaligned.obj,(+RO),system.lib,Boot-up used,
custom_flash.obj,(+RO),custom.lib,Boot-up used,
dcl_gpio.obj,(+RO),peripheral.lib,Boot-up used,
kal_mem_mgr.obj,(+RO),kal.lib,Boot-up used,
simple_memory_manager.obj,(+RO),gfx_drv.lib,Boot-up used,
hwlzma.obj,(+RO),sys_sec.lib,Boot-up used,
lzma_dispatcher.obj,(+RO),sys_sec.lib,Boot-up used,
LzmaDec.obj,(+RO),gfx_core32.lib,Boot-up used,
init_memory_stack.obj,(+RO),system.lib,Boot-up used,
isrentry.obj,(+RO),system.lib,Boot-up used,
intrCtrl.obj,(+RO),system.lib,Boot-up used,
adie_intrctrl.obj,(+RO),system.lib,Boot-up used,
drv_hisr.obj,(+RO),peripheral.lib,Boot-up used,
tst_trace.obj,(+RO),tst.lib,Boot-up used,
uart.obj,(+RO),peripheral.lib,Boot-up used,
custom_util.obj,(+RO),custom.lib,Boot-up used,
*sst.lib,(+RO),sst.lib,Boot-up used,
gpio_var.obj,(+RO),custom.lib,Boot-up used,
gpio.obj,(+RO),peripheral.lib,Boot-up used,
DclH_kbd.obj,(+RO),peripheral.lib,Boot-up used,
dcl_pw.obj,(+RO),peripheral.lib,Boot-up used,
code_decompression_hal.obj,(+RO),system.lib,Boot-up used,
keypad_def.obj,(+RO),custom.lib,Boot-up used,
uart_def.obj,(+RO),custom.lib,Boot-up used,
SSS_secure_shared_common.obj,(+RO),sss_rvct_sv5.lib,Boot-up used,
excep_hdlr.obj,(+RO),system.lib,Boot-up used,
tst_assert.obj,(+RO),tst.lib,Boot-up used,
Dcl_SeriPortDrv.obj,(+RO),peripheral.lib,Boot-up used,
uart_handler.obj,(+RO),peripheral.lib,Boot-up used,
uart_vfifo.obj,(+RO),peripheral.lib,Boot-up used,
dma.obj,(+RO),system.lib,Boot-up used,
dcm.obj,(+RO),system.lib,Boot-up used,
tst_reader_trace_utility.obj,(+RO),tst.lib,Boot-up used,
init_trc.obj,(+RO),system.lib,Boot-up used,
custom_util.obj,(+RO),custom.lib,Boot-up used,
*hanwang.lib,(+RO-DATA),hanwang.lib,Poor compression ratio,
*mre_custom.lib,(+RO-DATA),mre_custom.lib,Poor compression ratio,
kmxime_latin.o,(+RO-DATA),kmxime_arm7_rvct.a,Poor compression ratio,
*dsp_ram.lib,(+RO),dsp_ram.lib,DSP related,
*system.lib,(+RO),system.lib,Workaround,
*peripheral.lib,(+RO),peripheral.lib,Workaround,
*kal.lib,(+RO),kal.lib,Workaround,
*sys_sec.lib,(+RO),sys_sec.lib,Workaround,
*gfx_drv.lib,(+RO),gfx_drv.lib,Workaround,
*tst.lib,(+RO),tst.lib,Workaround,
