Type,Name,VMA,LMA,ALIGN,MaxSize,Attribute,BaseRegion,ExecutionView,LoadView,Condition,CompileOption
SectionFrame,ROM_GFH,ORIGIN(ROM),,,,RO,,ROM,ROM,,
SectionFrame,ROM,.,,,,RO,ROM,ROM,ROM,,
SectionFrame,#.ARM.exidx,.,,,,RO,ROM,ROM,ROM,,
OVERLAY,EMIINIT_CODE,[ITCM_BASE],,,,RO,,TCM,ROM,,
OVERLAY,INTSRAM_CODE,,,,,RO,,,,,
SectionFrame,INTSRAM_DATA,.,,,,RW,INTSRAM_DATA,TCM,ROM,,
SectionFrame,INTSRAM_DATA_ZI,.,,,,ZI,INTSRAM_DATA,TCM,ROM,,
LinkerSymbol,INTSRAM_PHYSICAL_BOUNDARY,[DTCM_BASE],,,,LV::Base,,,,,
LinkerSymbol,INTSRAM_PHYSICAL_BOUNDARY,[DTCM_BASE],,,,EV::Base,,,,,
LinkerSymbol,INTSRAM_PHYSICAL_BOUNDARY,[DTCM_SIZE],,,,EV::Length,,,,,
ACTION,. = ORIGIN(RAM);,,,,,,,,,,
SectionFrame,EXTSRAM,ALIGN(0x100000),,,,RW,EXTSRAM,RAM,ROM,,
SectionFrame,EXTSRAM_ZI,.,,,,ZI,EXTSRAM,RAM,ROM,,
SectionFrame,DYNAMIC_CACHEABLE_EXTSRAM_DEFAULT_NONCACHEABLE_ZI,.,,,,ZI,,RAM,ROM,,
SectionFrame,DYNAMIC_CACHEABLE_EXTSRAM_DEFAULT_NONCACHEABLE_RW,.,,,,RW,,RAM,ROM,,
ACTION,. += 0xF0000000;,,,,,,,,,,
SectionFrame,CACHED_EXTSRAM,ALIGN(0x1000),,,,RW,CACHED_EXTSRAM,VRAM,ROM,,
SectionFrame,CACHED_EXTSRAM_ZI,.,,,,ZI,CACHED_EXTSRAM,VRAM,ROM,,
SectionFrame,#.bss,.,,,,ZI,CACHED_EXTSRAM,VRAM,ROM,,
SectionFrame,CACHED_EXTSRAM_PREINIT_ZI,.,,,,ZI,,VRAM,ROM,,
SectionFrame,CACHED_EXTSRAM_NVRAM_LTABLE,.,,,,RW,,VRAM,ROM,,
SectionFrame,DYNAMIC_CACHEABLE_EXTSRAM_DEFAULT_CACHEABLE_RW,ALIGN(0x1000),,,,RW,,VRAM,ROM,,
SectionFrame,DYNAMIC_CACHEABLE_EXTSRAM_DEFAULT_CACHEABLE_ZI,.,,,,ZI,,VRAM,ROM,,
LinkerSymbol,CACHED_DUMMY_END,[DUMMY_END],,,,EV::Base,,,,,
SectionFrame,BOOT_CERT,[BOOT_CERT_BASE],[BOOT_CERT_BASE],,0x1000,RW,,,,!(BOOT_CERT_SUPPORT = NONE || BOOT_CERT_SUPPORT = FALSE),
SectionFrame,EXTSRAM_FS_ZI,[TX_BASE]-0x300000,,,0x300000,ZI,,RAM,ROM,FS_RAMDISK=TRUE,
SectionFrame,EXTSRAM_DSP_TX,[TX_BASE],,,[TX_SIZE],RW,,RAM,ROM,,
SectionFrame,EXTSRAM_DSP_RX,[RX_BASE],,,[RX_SIZE],RW,,RAM,ROM,,
LinkerSymbol,KTEST,ORIGIN(RAM)+LENGTH(RAM)-20,,,,EV::Base,,,,,
SectionFrame,ROM_SIGNATURE_SECTION,,,ALIGN(4),,RO,,RAM,ROM,,
