Object Name,Attributes,Library Name,Category,Feature Option
LzmaDec.obj,(+RO),gfx_core32.lib,Neptune-related obj,
l1_interface.obj,(+RO),interface_classb.lib,Neptune-related obj,
bootup_logo.obj,(+RO),mmi_framework.lib,Neptune-related obj,
*bmt.lib,(+RO),bmt.lib,default not in zimage,
*config.lib,(+RO),config.lib,default not in zimage,
*drv.lib,(+RO),*drv.lib,default not in zimage,
*mc.lib,(+RO),mc.lib,default not in zimage,
*usb_driver.lib,(+RO),usb_driver.lib,default not in zimage,
*mm_comm.lib,(+RO),mm_comm.lib,default not in zimage,
*mtd.lib,(+RO),mtd.lib,default not in zimage,
*peripheral.lib,(+RO),peripheral.lib,default not in zimage,
*drv_display.lib,(+RO),drv_display.lib,default not in zimage,
*gfx_drv.lib,(+RO),gfx_drv.lib,default not in zimage,
*cipher.lib,(+RO),cipher.lib,default not in zimage,
*drv_idp.lib,(+RO),drv_idp.lib,default not in zimage,
*fdm.lib,(+RO),fdm.lib,default not in zimage,
*init.lib,(+RO),init.lib,default not in zimage,
*system.lib,(+RO),system.lib,default not in zimage,
*kal.lib,(+RO),kal.lib,default not in zimage,
*l1_ext.lib,(+RO),l1_ext.lib,default not in zimage,
*sst.lib,(+RO),sst.lib,default not in zimage,
*sst_sec.lib,(+RO),sst_sec.lib,default not in zimage,
*sss.lib,(+RO),sss.lib,default not in zimage,
*sss_rvct*.lib,(+RO),sss_rvct*.lib,default not in zimage,
*tst.lib,(+RO),tst.lib,default not in zimage,
*gdi.lib,(+RO),gdi.lib,default not in zimage,
*verno.lib,(+RO),verno.lib,default not in zimage,
*j2me_hi.lib,(+RO),j2me_hi.lib,default not in zimage,
*j2me_hi_rvct.lib,(+RO),j2me_hi_rvct.lib,default not in zimage,
*gdi_arm.lib,(+RO),gdi_arm.lib,default not in zimage,!(PLATFORM = MT6250)
*dsp_ram.lib,(+RO),dsp_ram.lib,default not in zimage,
*ssf.lib,(+RO),ssf.lib,default not in zimage,FOTA_ENABLE = FOTA_DM
custom_emi.obj,(+RO),custom.lib,default not in zimage,
custom_config.obj,(+RO),custom.lib,default not in zimage,
custom_flash.obj,(+RO),custom.lib,default not in zimage,
custom_scatstruct.obj,(+RO),custom.lib,default not in zimage,
custom_jump_tbl.obj,(+RO),custom.lib,default not in zimage,
custom_util.obj,(+RO),custom.lib,default not in zimage,
custom_fota.obj,(+RO),custom.lib,default not in zimage,FOTA_ENABLE = FOTA_DM
custom_img_config.obj,(+RO),custom.lib,default not in zimage,FOTA_ENABLE = FOTA_DM
combo_flash_nor.obj,(+RO-CODE +RO-DATA),custom.lib,default not in zimage,
combo_flash_init.obj,(+RO-CODE +RO-DATA),custom.lib,default not in zimage,
custom_sfi.obj,(+RO-CODE +RO-DATA),custom.lib,default not in zimage,
gpio_setting.obj,(+RO),custom.lib,default not in zimage,
adc_channel.obj,(+RO),Unknown,default not in zimage,
alerter_tone.obj,(+RO),Unknown,default not in zimage,
alerterdrv.obj,(+RO),custom.lib,default not in zimage,
chr_parameter.obj,(+RO),custom.lib,default not in zimage,
custom_drv_init.obj,(+RO),custom.lib,default not in zimage,
custom_equipment.obj,(+RO),custom.lib,default not in zimage,
custom_hw_default.obj,(+RO),custom.lib,default not in zimage,
eint_def.obj,(+RO),custom.lib,default not in zimage,
exif_custom.obj,(+RO),Unknown,default not in zimage,
gpio_drv.obj,(+RO),custom.lib,default not in zimage,
irda_custom.obj,(+RO),Unknown,default not in zimage,
kbdmain_joystick.obj,(+RO),Unknown,default not in zimage,
keypad_def.obj,(+RO),custom.lib,default not in zimage,
msdc_custom.obj,(+RO),custom.lib,default not in zimage,
pmic_custom.obj,(+RO),Unknown,default not in zimage,
pwmdrv.obj,(+RO),custom.lib,default not in zimage,
touch_panel_custom.obj,(+RO),custom.lib,default not in zimage,
touch_panel_spi.obj,(+RO),Unknown,default not in zimage,
touchpad.obj,(+RO),Unknown,default not in zimage,
touchpad_keydef.obj,(+RO),Unknown,default not in zimage,
tv_custom.obj,(+RO),Unknown,default not in zimage,
uart_def.obj,(+RO),custom.lib,default not in zimage,
uem_gpio.obj,(+RO),custom.lib,default not in zimage,
usb_custom.obj,(+RO),custom.lib,default not in zimage,
usb_host_ms_custom.obj,(+RO),Unknown,default not in zimage,
pmu_custom.obj,(+RO),custom.lib,default not in zimage,
adc_var.obj,(+RO),custom.lib,default not in zimage,
eint_var.obj,(+RO),custom.lib,default not in zimage,
gpio_var.obj,(+RO),custom.lib,default not in zimage,
uem_drv.obj,(+RO),custom.lib,default not in zimage,
pmic_drv.obj,(+RO),Unknown,default not in zimage,
lcd.obj,(+RO),custom.lib,default not in zimage,
Ext_Charger_*.obj,(+RO),Unknown,default not in zimage,
Ext_Cable_*.obj,(+RO),Unknown,default not in zimage,
cs_fac_det*.obj,(+RO),Unknown,default not in zimage,
custNFBProgressImg.obj,(+RO),Unknown,default not in zimage,
mdi_tv.obj,(+RO),Unknown,default not in zimage,
MiscUtils.obj,(+RO),Unknown,default not in zimage,
ul1sm.obj,(+RO),Unknown,default not in zimage,
bl_SC624.obj,(+RO),Unknown,default not in zimage,
mmi_create.obj,(+RO),mmi.lib,default not in zimage,
mmi_main.obj,(+RO),mmi.lib,default not in zimage,
ws_fs_api.obj,(+RO),Unknown,default not in zimage,
ext_drv_assert_hdlr_if.obj,(+RO),custom.lib,default not in zimage,
rc4_engine.obj,(+RO),che.lib,default not in zimage,
bn_lib.obj,(+RO),ossl_crypto.lib,default not in zimage,
X509.obj,(+RO),Unknown,default not in zimage,
*drv_sec.lib,(+RO),drv_sec.lib,default not in zimage,
usbms_state.obj,(+RO-DATA),usb.lib,default not in zimage,
md5_engine.obj,(+RO),che.lib,default not in zimage,
*sys_sec.lib,(+RO),sys_sec.lib,default not in zimage,
*nucleus.lib,(+RO),nucleus.lib,rtos-related lib,
*nucleus_int.lib,(+RO),nucleus_int.lib,rtos-related lib,
*nucleus_debug.lib,(+RO),nucleus_debug.lib,rtos-related lib,
*nucleus_v2.lib,(+RO),nucleus_v2.lib,rtos-related lib,
*nucleus_v2_int.lib,(+RO),nucleus_v2_int.lib,rtos-related lib,
*nucleus_v2_debug.lib,(+RO),nucleus_v2_debug.lib,rtos-related lib,
*nucleus_v2_ctrl_code.lib,(+RO),nucleus_v2_ctrl_code.lib,rtos-related lib,
csc.obj,(+RO),nucleus_ctrl_code.lib,rtos-related lib,
tcc.obj,(+RO),nucleus_ctrl_code.lib,rtos-related lib,
tms.obj,(+RO),nucleus_ctrl_code.lib,rtos-related lib,
evc.obj,(+RO),nucleus_ctrl_code.lib,rtos-related lib,
quc.obj,(+RO),nucleus_ctrl_code.lib,rtos-related lib,
pmc.obj,(+RO),nucleus_ctrl_code.lib,rtos-related lib,
smc.obj,(+RO),nucleus_ctrl_code.lib,rtos-related lib,
tct.obj,(+RO),nucleus_ctrl_code.lib,rtos-related lib,
m11007.obj,(+RO-CODE +RO-DATA),l1_classb_g2.lib,L1_temp,
m12171.obj,(+RO-CODE +RO-DATA),l1_classb_g2.lib,L1_temp,
m12100.obj ,(+RO-CODE +RO-DATA),l1_classb_g2.lib,L1_temp,!((mmi_version = PLUTO_MMI) && (finger_touch_support = FTE) && (PLATFORM = MT6252 || PLATFORM = MT6250))
l1sm.obj ,(+RO-CODE +RO-DATA),l1_classb_g2.lib,L1_temp,!((mmi_version = PLUTO_MMI) && (finger_touch_support = FTE) && (PLATFORM = MT6252 || PLATFORM = MT6250))
l1csm.obj,(+RO-CODE +RO-DATA),l1_classb_g2.lib,L1_temp,!((mmi_version = PLUTO_MMI) && (finger_touch_support = FTE) && (PLATFORM = MT6252 || PLATFORM = MT6250))
*gdi_2.lib,(+RO),gdi_2.lib,img_med_fs_temp,
*fs.lib,(+RO),fs.lib,img_med_fs_temp,
gui_wrapper.obj,(+RO),mmiresource.lib,gui_wrapper_temp,
*hanwang.lib,(+RO-DATA),hanwang.lib,Poor compression ratio,
*mre_custom.lib,(+RO-DATA),mre_custom.lib,Poor compression ratio,
kmxime_latin.o,(+RO-DATA),kmxime_arm7_rvct.a,Poor compression ratio,
